date,userId,leaveTypeId,approved,approvedMinutes,unpaid,unpaidMinutes,deniedMinutes,deniedDays,pending,pendingMinutes,ptoCost,remaining
2023-06-14,13214528,4380391,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-14,13217167,4380390,1.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2023-06-14,13815384,4380391,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,5.0
2023-06-14,13214525,4380391,0.0,0.0,0.0,0.0,0.0,0.0,1.0,480.0,0.0,5.0
2023-06-14,13215753,4380391,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,5.0
2023-06-15,13214528,4380391,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-15,13221157,4380395,1.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,376000.0,1.0
2023-06-15,13217167,4380390,1.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2023-06-15,13815384,4380391,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,5.0
2023-06-15,13214525,4380391,0.0,0.0,0.0,0.0,0.0,0.0,1.0,480.0,0.0,5.0
2023-06-15,13215753,4380391,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,5.0
2023-06-16,13214528,4380391,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-16,13221157,4380395,1.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,376000.0,1.0
2023-06-16,13217167,4380390,1.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2023-06-16,13214525,4380391,0.0,0.0,0.0,0.0,0.0,0.0,1.0,480.0,0.0,5.0
2023-06-16,13221156,4380395,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-16,13215753,4380391,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,5.0
2023-06-16,13214615,4380392,1.0,420.0,1.0,420.0,0.0,0.0,0.0,0.0,0.0,5.0
2023-06-17,13214525,4380391,0.0,0.0,0.0,0.0,0.0,0.0,1.0,480.0,0.0,5.0
2023-06-17,13214558,4380391,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,5.0
